LEVEL_3_CO,LEVEL_NAME,AREA_SQKM,TOTAL,RELATIVE,RICHNESS,RANGE_MEAN,RANGE_MEDIAN,ENDEMISM_T,ENDEMISM_R,BIEN_OCCUR,GDP_SUM,GDP_CAPITA,ROAD_DENSITY,POP_COUNT,POP_DENSITY,SECURITY,RESEARCH_EXP,EDUCATION_EXP
ABT,Alberta,661998.02,1063,0.914015477,1163,33.88,22,2,0.002,0.82,305.961978,98796.49,55.72,3096891.28,4.68,1.625090909,1.757034,5.107454558
AFG,Afghanistan,643571.32,1695,0.542573624,3124,14.37,5,775,0.248,0.45,22.446464,980.80,133.94,22885820.73,35.56,3.376272727,NA,3.52979625
AGE,Argentina Northeast,1125910.09,2441,0.557051575,4382,11.56,5,230,0.052,0.75,679.283024,22681.01,369.81,29949419.49,26.60,1.931363636,0.574948889,4.708739512
AGS,Argentina South,785187.95,1017,0.579487179,1755,7.17,3,233,0.133,0.77,53.69157,28730.18,182.85,1868820.91,2.38,1.931363636,0.574948889,4.708739512
AGW,Argentina Northwest,876409.52,2394,0.535450682,4471,9.05,3,758,0.17,0.73,104.320326,14052.35,185.66,7423694.04,8.47,1.931363636,0.574948889,4.708739512
ALA,Alabama,134788.50,2023,0.836988002,2417,24.17,18,59,0.024,0.75,282.902968,59018.21,447.99,4793486.47,35.56,2.299636364,2.754861,4.946395
ALB,Albania,28702.77,2201,0.797174937,2761,26.22,20,50,0.018,0.23,11.82818,3909.29,1146.64,3025657.98,105.41,2.009636364,0.15412,3.376410668
ALD,Aldabra,184.34,116,0.720496894,161,34.17,24,18,0.112,0.05,0.002318,3176.69,0.00,729.69,3.96,NA,0.22162,4.791015496
ALG,Algeria,2326135.46,2106,0.724707502,2906,21.37,13,179,0.062,0.41,157.859594,4416.10,25.03,35746376.05,15.37,2.291818182,0.53347,4.33702
ALT,Altay,262907.08,1442,0.722083125,1997,27.35,16,76,0.038,0.28,6.314854,2164.61,70.63,2917312.94,11.10,2.821090909,1.086097,3.690385385
ALU,Aleutian Is.,12601.97,248,0.864111498,287,31.81,19,3,0.01,0.53,0,0.00,0.00,8162.00,0.65,2.821090909,1.086097,3.690385385
AMU,Amur,360888.04,799,0.785644051,1017,27.3,14,14,0.014,0.09,3.36176,3631.31,32.51,925770.09,2.57,2.821090909,1.086097,3.690385385
AND,Andaman Is.,5967.33,929,0.641574586,1448,19.53,12,134,0.093,0.03,0.844636,2711.96,117.32,311448.74,52.19,2.557545455,0.797028,3.625841551
ANG,Angola,1248061.63,2149,0.429456435,5004,14.24,7,1015,0.203,0.50,48.2776,2412.79,108.64,20009056.09,16.03,2.097545455,NA,2.599508015
ANT,Antarctica,12330687.09,3,1,3,9.67,11,0,0,1.00,0,0.00,0.00,0.00,0.00,NA,NA,NA
ARI,Arizona,294961.47,1811,0.717227723,2525,17.41,7,128,0.051,0.76,402.00896,69807.97,221.68,5758783.34,19.52,2.299636364,2.754861,4.946395
ARK,Arkansas,137857.67,1276,0.83235486,1533,30.19,25,11,0.007,0.65,160.82169,55100.61,354.36,2918691.56,21.17,2.299636364,2.754861,4.946395
ARU,Aruba,207.65,183,0.778723404,235,37.03,28,3,0.013,0.10,4.604724,42234.11,8735.38,109028.56,525.06,NA,NA,5.506270591
ASC,Ascension,99.05,18,0.642857143,28,45,27.5,7,0.25,0.11,0,0.00,286.61,701.93,7.09,1.942727273,1.661602,4.946111045
ASK,Alaska,1491866.86,923,0.865853659,1066,30.29,17,28,0.026,0.82,50.32964,94505.01,12.75,532560.54,0.36,2.299636364,2.754861,4.946395
ASP,Amsterdam-St.Paul Is.,72.10,16,0.695652174,23,11.52,9,4,0.174,0.70,0,0.00,0.00,28.00,0.39,1.785090909,2.20872,5.557332007
ASS,Assam,172016.07,2423,0.586540789,4131,13.39,8,356,0.086,0.08,56.006922,1344.23,300.52,41664635.44,242.21,2.557545455,0.797028,3.625841551
ATP,Antipodean Is.,859.73,110,0.728476821,151,8.32,4,31,0.205,0.65,0,0.00,0.00,0.00,0.00,1.392090909,1.21692,6.417572093
AUT,Austria,84082.83,2011,0.658480681,3054,25.13,16,193,0.063,0.69,449.62695,52550.82,1083.22,8556041.35,101.76,1.333272727,2.887387,5.502237218
AZO,Azores,2105.43,401,0.889135255,451,40.22,32,60,0.133,0.41,3.704924,16916.23,0.00,219015.98,104.02,1.505181818,1.386583,5.116852794
BAH,Bahamas,12870.75,630,0.727482679,866,26.04,17,53,0.061,0.45,13.98997,46424.81,213.56,301346.85,23.41,NA,NA,2.23284
BAL,Baleares,5108.14,973,0.848299913,1147,31.61,24,77,0.067,0.76,34.010694,37366.51,1415.92,910191.92,178.18,1.838909091,1.27476,4.344820015
BAN,Bangladesh,139452.12,2095,0.655506884,3196,17.57,10,112,0.035,0.10,164.61906,1234.82,1309.19,133314134.10,955.99,2.097727273,NA,2.059114696
BEN,Benin,116911.19,1058,0.588759043,1797,26.76,20,10,0.006,0.81,6.732774,834.51,182.51,8067978.89,69.01,2.138363636,NA,3.698547783
BER,Bermuda,40.37,133,0.852564103,156,49.09,35,11,0.071,0.06,8.86975,219753.44,226.06,40362.28,999.89,NA,0.22980875,1.968138901
BGM,Belgium,33181.34,1196,0.728823888,1641,34.47,30,27,0.016,0.71,576.70656,51464.00,2144.49,11206017.97,337.72,1.606636364,2.273995,6.065196993
BIS,Bismarck Archipelago,49247.11,534,0.452159187,1181,12.22,4,225,0.191,0.47,0.701368,1100.86,242.69,637110.12,12.94,1.970090909,0.03294,NA
BKN,Burkina,274001.37,821,0.590647482,1390,29.58,22,1,0.001,0.69,8.47516,620.89,113.74,13650093.34,49.82,1.807727273,0.31965,4.073580005
BLR,Belarus,207318.07,1067,0.866071429,1232,43.68,37,9,0.007,0.26,51.146722,5247.24,394.51,9747362.43,47.02,2.121090909,0.612209,5.233056668
BLT,Baltic States,188709.32,1061,0.724726776,1464,38.15,33,46,0.031,0.56,75.508692,10030.97,412.73,7527560.08,39.89,1.96338556,0.973049033,5.137885613
BLZ,Belize,22259.32,2054,0.699591281,2936,19.64,14,50,0.017,0.70,1.830276,5964.05,462.86,306884.94,13.79,NA,NA,6.093446151
BOL,Bolivia,1092615.38,5622,0.464781746,12096,8.2,4,2336,0.193,0.69,23.145136,2503.34,99.91,9245701.31,8.46,2.117909091,0.157,6.38090732
BOR,Borneo,745140.16,3062,0.340033315,9005,5.5,1,4939,0.548,0.30,97.337546,5456.11,191.08,17840098.59,23.94,1.812666019,0.417605112,3.545056578
BOT,Botswana,581114.31,1239,0.627977699,1973,19.92,10,16,0.008,0.65,17.057792,9517.73,98.84,1792212.40,3.08,1.854090909,0.395695,9.721
BRC,British Columbia,944739.61,1513,0.900059488,1681,27.5,15,20,0.012,0.83,202.489436,53437.40,15.89,3789283.02,4.01,1.625090909,1.757034,5.107454558
BRY,Buryatiya,351672.49,1111,0.756296801,1469,28.45,16,25,0.017,0.25,3.379434,3265.52,22.47,1034882.31,2.94,2.821090909,1.086097,3.690385385
BUL,Bulgaria,111065.61,2253,0.75024975,3003,26.16,19,145,0.048,0.40,37.96664,4952.84,398.92,7665633.11,69.02,1.709545455,0.658401,3.595204677
BUR,Burundi,27364.08,1295,0.576323988,2247,21.3,14,38,0.017,0.35,1.962304,244.98,746.81,8010085.54,292.72,2.45,0.139335,4.86260647
BZC,Brazil West-Central,1617304.55,3776,0.487729269,7742,8.84,5,1190,0.154,0.78,132.150728,10261.13,81.34,12878765.44,7.96,2.020545455,1.194235556,4.964810004
BZE,Brazil Northeast,1554214.54,4316,0.482288524,8949,8.01,3,2326,0.26,0.74,243.131384,4784.73,125.48,50814010.24,32.69,2.020545455,1.194235556,4.964810004
BZL,Brazil Southeast,928974.31,5844,0.400438536,14594,5.55,2,5720,0.392,0.63,955.170626,12324.62,176.07,77501049.53,83.43,2.020545455,1.194235556,4.964810004
BZN,Brazil North,3857875.65,4813,0.450697631,10679,8.11,4,1484,0.139,0.72,92.767102,6146.02,27.09,15093857.69,3.91,2.020545455,1.194235556,4.964810004
BZS,Brazil South,566836.25,3471,0.493670886,7031,8.56,4,1179,0.168,0.64,315.130722,12078.24,182.49,26090775.21,46.03,2.020545455,1.194235556,4.964810004
CAB,Cabinda,7027.74,376,0.50334672,747,11.29,7,37,0.05,0.08,0.713508,2969.94,195.99,240243.56,34.19,2.097545455,NA,2.599508015
CAF,Central African Republic,622629.04,1535,0.523890785,2930,19.63,14,77,0.026,0.36,2.004772,533.23,40.48,3759687.54,6.04,2.824363636,NA,1.449491664
CAL,California,408562.28,2960,0.726737049,4073,11.13,3,1237,0.304,0.89,2984.263516,85181.24,603.14,35034281.78,85.75,2.299636364,2.754861,4.946395
CAY,Cayman Is.,308.02,343,0.792147806,433,34.98,28,18,0.042,0.19,3.492888,79562.67,4386.74,43901.09,142.53,NA,NA,2.476785
CBD,Cambodia,183115.13,1602,0.634204276,2526,14.24,9,147,0.058,0.16,15.117736,1099.93,310.49,13744288.22,75.06,2.127,0.11823,1.65821667
CGS,Chagos Archipelago,105.16,36,0.857142857,42,55.83,49,0,0,0.02,0,0.00,0.00,2999.91,28.53,1.942727273,1.661602,4.946111045
CHA,Chad,1279136.94,1058,0.621621622,1702,28.53,22,33,0.019,0.08,5.529524,592.28,40.68,9336045.76,7.30,2.608363636,0.32217,2.259937495
CHC,China South-Central,1312737.59,7474,0.55130191,13557,7,2,4900,0.361,0.60,718.39908,2833.27,214.62,253557858.70,193.15,2.284727273,1.880259,1.861919959
CHH,Hainan,34205.47,1639,0.661153691,2479,15.84,8,394,0.159,0.51,26.896876,3235.50,415.59,8313056.29,243.03,2.284727273,1.880259,1.861919959
CHI,Inner Mongolia,1203296.34,1047,0.73628692,1422,21.8,10,56,0.039,0.31,167.638418,5694.62,89.03,29438029.85,24.46,2.284727273,1.880259,1.861919959
CHM,Manchuria,790163.60,1312,0.779097387,1684,22.12,10,65,0.039,0.37,532.25367,5077.42,201.74,104827589.25,132.67,2.284727273,1.880259,1.861919959
CHN,China North-Central,1112281.49,2537,0.698128784,3634,13.71,5,341,0.094,0.54,1530.854756,5329.83,364.58,287224020.06,258.23,2.284727273,1.880259,1.861919959
CHQ,Qinghai,735728.38,930,0.663811563,1401,15.73,6,126,0.09,0.49,18.37948,3407.16,46.75,5394372.22,7.33,2.284727273,1.880259,1.861919959
CHS,China Southeast,1430534.52,4729,0.625611853,7559,10,3,1871,0.248,0.54,3549.415846,5937.30,544.96,597816631.58,417.90,2.284727273,1.879240155,1.863379162
CHT,Tibet,1137215.61,2687,0.579219659,4639,10.02,4,777,0.167,0.35,7.349036,2559.63,46.09,2871137.51,2.52,2.284727273,1.880259,1.861919959
CHX,Xinjiang,1633329.24,1428,0.604828463,2361,17.81,7,266,0.113,0.27,79.685372,3891.66,62.10,20475944.84,12.54,2.284727273,1.880259,1.861919959
CKI,Cocos (Keeling) I.,28.91,48,0.857142857,56,66.5,51,0,0,0.43,0.016896,13309.33,0.00,1269.49,43.91,1.495181818,2.226646,5.053002152
CLC,Chile Central,186889.30,1287,0.515625,2496,5.94,2,808,0.324,0.69,165.142482,12619.29,323.45,13086507.56,70.02,1.968727273,0.36409,3.943262506
CLM,Colombia,1143180.87,7363,0.363299946,20267,6.37,3,6086,0.3,0.63,239.433704,5523.55,340.99,43347792.74,37.92,2.660727273,0.241528,4.28394651
CLN,Chile North,260769.64,796,0.555865922,1432,6.46,2,332,0.232,0.66,26.511662,21756.92,66.70,1218539.15,4.67,1.968727273,0.36409,3.943262506
CLS,Chile South,299274.66,701,0.617077465,1136,7.3,3,67,0.059,0.53,14.936322,11521.21,62.26,1296419.34,4.33,1.968727273,0.36409,3.943262506
CMN,Cameroon,467861.00,2609,0.461443226,5654,13.96,8,619,0.109,0.56,28.245966,1551.27,155.14,18208254.88,38.92,2.183454545,NA,2.772684706
CNT,Connecticut,12853.54,1109,0.894354839,1240,41.01,34,6,0.005,0.75,356.67362,102786.15,2390.79,3470055.22,269.97,2.299636364,2.754861,4.946395
CNY,Canary Is.,7548.96,1008,0.748329621,1347,20.77,5,583,0.433,0.69,47.475366,25597.13,1282.78,1854714.55,245.69,1.838909091,1.27476,4.344820015
COL,Colorado,270549.61,1749,0.79790146,2192,22,11,131,0.06,0.83,401.838642,84409.71,207.36,4760573.67,17.60,2.299636364,2.754861,4.946395
COM,Comoros,2186.92,399,0.572453372,697,20.56,6,175,0.251,0.34,8.870122,10960.92,363.63,809249.84,370.04,NA,NA,2.759411248
CON,Congo,346353.88,1584,0.500790389,3163,15.86,9,42,0.013,0.24,9.794348,2189.75,62.83,4472813.49,12.91,2.107,NA,3.629513776
COO,Cook Is.,202.43,141,0.629464286,224,28.81,15,23,0.103,0.28,0.219158,13287.24,289.53,16493.87,81.48,1.392090909,1.21692,6.417572093
